sample_name,matrix,treatment,strip,manure_amendment,plot,block,sample_day,sample_num,soil_type,depth,replicate,miseq_run
ACM_TB_P7_S2_D2,soil,ACM,N,N,7,1,Baseline,2,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S3_D1,soil,ACM,N,N,7,1,Baseline,3,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S3_D2,soil,ACM,N,N,7,1,Baseline,3,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S4_D1,soil,ACM,N,N,7,1,Baseline,4,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S4_D2,soil,ACM,N,N,7,1,Baseline,4,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S5_D1,soil,ACM,N,N,7,1,Baseline,5,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S5_D2,soil,ACM,N,N,7,1,Baseline,5,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S1_D1,soil,ACM,N,N,8,2,Baseline,1,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S1_D2,soil,ACM,N,N,8,2,Baseline,1,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S2_D1,soil,ACM,N,N,8,2,Baseline,2,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S2_D2,soil,ACM,N,N,8,2,Baseline,2,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S3_D1,soil,ACM,N,N,8,2,Baseline,3,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S3_D2,soil,ACM,N,N,8,2,Baseline,3,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S4_D1,soil,ACM,N,N,8,2,Baseline,4,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S4_D2,soil,ACM,N,N,8,2,Baseline,4,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S5_D1,soil,ACM,N,N,8,2,Baseline,5,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P8_S5_D2,soil,ACM,N,N,8,2,Baseline,5,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S1_D1,soil,ACM,N,N,9,3,Baseline,1,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S1_D2,soil,ACM,N,N,9,3,Baseline,1,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S2_D1,soil,ACM,N,N,9,3,Baseline,2,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S2_D2,soil,ACM,N,N,9,3,Baseline,2,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S3_D1,soil,ACM,N,N,9,3,Baseline,3,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S3_D2,soil,ACM,N,N,9,3,Baseline,3,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S4_D1,soil,ACM,N,N,9,3,Baseline,4,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S4_D2,soil,ACM,N,N,9,3,Baseline,4,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S5_D1,soil,ACM,N,N,9,3,Baseline,5,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P9_S5_D2,soil,ACM,N,N,9,3,Baseline,5,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACS_T000_P1_S1_D1,soil,ACS,Y,N,1,1,T000,1,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S1_D2,soil,ACS,Y,N,1,1,T000,1,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S2_D1,soil,ACS,Y,N,1,1,T000,2,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S2_D2,soil,ACS,Y,N,1,1,T000,2,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S3_D1,soil,ACS,Y,N,1,1,T000,3,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S3_D2,soil,ACS,Y,N,1,1,T000,3,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S4_D1,soil,ACS,Y,N,1,1,T000,4,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S4_D2,soil,ACS,Y,N,1,1,T000,4,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P1_S5_D1,soil,ACS,Y,N,1,1,T000,5,Interface,Depth 1,soil_T000_interface,STRIPS_Run_1
ACS_T000_P1_S5_D2,soil,ACS,Y,N,1,1,T000,5,Interface,Depth 2,soil_T000_interface,STRIPS_Run_1
ACS_T000_P1_S6_D1,soil,ACS,Y,N,1,1,T000,6,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S6_D2,soil,ACS,Y,N,1,1,T000,6,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S7_D1,soil,ACS,Y,N,1,1,T000,7,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S7_D2,soil,ACS,Y,N,1,1,T000,7,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S8_D1,soil,ACS,Y,N,1,1,T000,8,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S8_D2,soil,ACS,Y,N,1,1,T000,8,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S9_D1,soil,ACS,Y,N,1,1,T000,9,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P1_S9_D2,soil,ACS,Y,N,1,1,T000,9,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S1_D1,soil,ACS,Y,N,2,2,T000,1,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S1_D2,soil,ACS,Y,N,2,2,T000,1,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S2_D1,soil,ACS,Y,N,2,2,T000,2,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S2_D2,soil,ACS,Y,N,2,2,T000,2,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S3_D1,soil,ACS,Y,N,2,2,T000,3,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S3_D2,soil,ACS,Y,N,2,2,T000,3,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S4_D1,soil,ACS,Y,N,2,2,T000,4,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S4_D2,soil,ACS,Y,N,2,2,T000,4,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P2_S5_D1,soil,ACS,Y,N,2,2,T000,5,Interface,Depth 1,soil_T000_interface,STRIPS_Run_1
ACS_T000_P2_S5_D2,soil,ACS,Y,N,2,2,T000,5,Interface,Depth 2,soil_T000_interface,STRIPS_Run_1
ACS_T000_P2_S6_D1,soil,ACS,Y,N,2,2,T000,6,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S6_D2,soil,ACS,Y,N,2,2,T000,6,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S7_D1,soil,ACS,Y,N,2,2,T000,7,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S7_D2,soil,ACS,Y,N,2,2,T000,7,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S8_D1,soil,ACS,Y,N,2,2,T000,8,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S8_D2,soil,ACS,Y,N,2,2,T000,8,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S9_D1,soil,ACS,Y,N,2,2,T000,9,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P2_S9_D2,soil,ACS,Y,N,2,2,T000,9,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S1_D1,soil,ACS,Y,N,3,3,T000,1,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S1_D2,soil,ACS,Y,N,3,3,T000,1,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
