sample_name,matrix,treatment,strip,manure_amendment,plot,block,sample_day,sample_num,soil_type,depth,replicate,miseq_run
ACM_T002_P8_S1_D1,soil,ACM,N,Y,8,2,T002,1,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S1_D2,soil,ACM,N,Y,8,2,T002,1,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S2_D1,soil,ACM,N,Y,8,2,T002,2,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S2_D2,soil,ACM,N,Y,8,2,T002,2,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S3_D1,soil,ACM,N,Y,8,2,T002,3,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S3_D2,soil,ACM,N,Y,8,2,T002,3,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S4_D1,soil,ACM,N,Y,8,2,T002,4,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S4_D2,soil,ACM,N,Y,8,2,T002,4,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S5_D1,soil,ACM,N,Y,8,2,T002,5,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P8_S5_D2,soil,ACM,N,Y,8,2,T002,5,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S1_D1,soil,ACM,N,Y,9,3,T002,1,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S1_D2,soil,ACM,N,Y,9,3,T002,1,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S2_D1,soil,ACM,N,Y,9,3,T002,2,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S2_D2,soil,ACM,N,Y,9,3,T002,2,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S3_D1,soil,ACM,N,Y,9,3,T002,3,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S3_D2,soil,ACM,N,Y,9,3,T002,3,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S4_D1,soil,ACM,N,Y,9,3,T002,4,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S4_D2,soil,ACM,N,Y,9,3,T002,4,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S5_D1,soil,ACM,N,Y,9,3,T002,5,Crop,Depth 1,soil_T002_crop,STRIPS_Run_1
ACM_T002_P9_S5_D2,soil,ACM,N,Y,9,3,T002,5,Crop,Depth 2,soil_T002_crop,STRIPS_Run_1
ACM_T014_P7_S1_D1,soil,ACM,N,Y,7,1,T014,1,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S1_D2,soil,ACM,N,Y,7,1,T014,1,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S2_D1,soil,ACM,N,Y,7,1,T014,2,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S2_D2,soil,ACM,N,Y,7,1,T014,2,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S3_D1,soil,ACM,N,Y,7,1,T014,3,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S3_D2,soil,ACM,N,Y,7,1,T014,3,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S4_D1,soil,ACM,N,Y,7,1,T014,4,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S4_D2,soil,ACM,N,Y,7,1,T014,4,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S5_D1,soil,ACM,N,Y,7,1,T014,5,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P7_S5_D2,soil,ACM,N,Y,7,1,T014,5,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S1_D1,soil,ACM,N,Y,8,2,T014,1,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S1_D2,soil,ACM,N,Y,8,2,T014,1,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S2_D1,soil,ACM,N,Y,8,2,T014,2,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S2_D2,soil,ACM,N,Y,8,2,T014,2,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S3_D1,soil,ACM,N,Y,8,2,T014,3,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S3_D2,soil,ACM,N,Y,8,2,T014,3,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S4_D1,soil,ACM,N,Y,8,2,T014,4,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S4_D2,soil,ACM,N,Y,8,2,T014,4,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S5_D1,soil,ACM,N,Y,8,2,T014,5,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P8_S5_D2,soil,ACM,N,Y,8,2,T014,5,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S1_D1,soil,ACM,N,Y,9,3,T014,1,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S1_D2,soil,ACM,N,Y,9,3,T014,1,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S2_D1,soil,ACM,N,Y,9,3,T014,2,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S2_D2,soil,ACM,N,Y,9,3,T014,2,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S3_D1,soil,ACM,N,Y,9,3,T014,3,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S3_D2,soil,ACM,N,Y,9,3,T014,3,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S4_D1,soil,ACM,N,Y,9,3,T014,4,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S4_D2,soil,ACM,N,Y,9,3,T014,4,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S5_D1,soil,ACM,N,Y,9,3,T014,5,Crop,Depth 1,soil_T014_crop,STRIPS_Run_2
ACM_T014_P9_S5_D2,soil,ACM,N,Y,9,3,T014,5,Crop,Depth 2,soil_T014_crop,STRIPS_Run_2
ACM_T153_P7_S1_D1,soil,ACM,N,Y,7,1,T153,1,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S1_D2,soil,ACM,N,Y,7,1,T153,1,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S2_D1,soil,ACM,N,Y,7,1,T153,2,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S2_D2,soil,ACM,N,Y,7,1,T153,2,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S3_D1,soil,ACM,N,Y,7,1,T153,3,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S3_D2,soil,ACM,N,Y,7,1,T153,3,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S4_D1,soil,ACM,N,Y,7,1,T153,4,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S4_D2,soil,ACM,N,Y,7,1,T153,4,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S5_D1,soil,ACM,N,Y,7,1,T153,5,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P7_S5_D2,soil,ACM,N,Y,7,1,T153,5,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S1_D1,soil,ACM,N,Y,8,2,T153,1,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S1_D2,soil,ACM,N,Y,8,2,T153,1,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S2_D1,soil,ACM,N,Y,8,2,T153,2,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S2_D2,soil,ACM,N,Y,8,2,T153,2,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S3_D1,soil,ACM,N,Y,8,2,T153,3,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S3_D2,soil,ACM,N,Y,8,2,T153,3,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S4_D1,soil,ACM,N,Y,8,2,T153,4,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S4_D2,soil,ACM,N,Y,8,2,T153,4,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S5_D1,soil,ACM,N,Y,8,2,T153,5,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P8_S5_D2,soil,ACM,N,Y,8,2,T153,5,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S1_D1,soil,ACM,N,Y,9,3,T153,1,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S1_D2,soil,ACM,N,Y,9,3,T153,1,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S2_D1,soil,ACM,N,Y,9,3,T153,2,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S2_D2,soil,ACM,N,Y,9,3,T153,2,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S3_D1,soil,ACM,N,Y,9,3,T153,3,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S3_D2,soil,ACM,N,Y,9,3,T153,3,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S4_D1,soil,ACM,N,Y,9,3,T153,4,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S4_D2,soil,ACM,N,Y,9,3,T153,4,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S5_D1,soil,ACM,N,Y,9,3,T153,5,Crop,Depth 1,soil_T153_crop,STRIPS_Run_2
ACM_T153_P9_S5_D2,soil,ACM,N,Y,9,3,T153,5,Crop,Depth 2,soil_T153_crop,STRIPS_Run_2
ACM_TB_P7_S1_D1,soil,ACM,N,N,7,1,Baseline,1,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S1_D2,soil,ACM,N,N,7,1,Baseline,1,Crop,Depth 2,soil_base_crop,STRIPS_Run_1
ACM_TB_P7_S2_D1,soil,ACM,N,N,7,1,Baseline,2,Crop,Depth 1,soil_base_crop,STRIPS_Run_1
